========== INFO ==========
Create Date: 2021-01-11
Last Reply: 
==========================

正如预想的那样，魔王城本身就像一个城市 。
驱散守护城门的无数魔族，进入其中后世界就会改变 。
在荒野上建的巨大城堡可以说是室内主题公园般的世界 。
墙上用魔法画了风景，城堡里还有几栋别的建筑物 。
在排列着几座城堡之类的魔王城内部，住着很多魔族 。
那是城塞城市格奥尔良那样的生活 。
有住宅，有商店，有公会，有广场——到处都是过着普通生活的魔族 。
踏入那里的我们是异己的存在 。
「油……是勇者！」魔族一看到我们，就吓得逃走了 。
看看逃跑的魔族的状态，竟然是从1级到10级的低 。
似乎存在着魔族的市民 。
为了保护那个市民，卫兵一样的魔族赶到 。
这边聚集了超过100级的猛士 。
尽管如此，即使结束了310级健身房也赢不了吧 。
「嘿，艾丽尔 。
这是什么意思？』我小声问她 。
「怎么样……就这样看着吧 。
魔王统治的国家啊」「统治，啊，是吗……啊，是吗」魔族也有生活 。
既然像人类一样有意志，就必须为了衣食住行而工作，在这个过程中社会也能吗？咏叹调也是魔族，却有人类般的常识 。
如果是人的样子，也许这样的生活方式会自然形成 。
「喂健治，怎么办？」「嗯……嗯」排在前列的健治也很动摇 。
「也有无辜的魔族吧……？「也许吧」「如果是这样的话，就只打倒魔王吧 。
直接去魔王的住处」「我以为你会这么说」如果在这里杀了所有居民，我们才是魔王军 。
我是人渣，但不是杀人犯 。
「勇者们！我不会做这个城市的！」拿着长矛的魔族自警团包围了我们 。
虽说超过了100级，但这些也是市民的一部分 。
「嘿！」希望故事能通顺，我呼吁魔族 。
「魔王在哪里！如果一切顺利的话，商谈可能会结束！「啊……你说什么……？》动荡不安的魔族们 。
其实一点也不想谈完 。
但是我的提案打动了几个魔族的视线 。
北——那栋楼一样的方形建筑物 。
「我们都要跑了！「顺桨推进」！「加倍」！」一喊技能名，我就把艾莉亚和尤诺的身体夹在两边 。
用暂时强化的肌肉和速度突破魔族们的包围 。
超越四处逃窜的魔族市民，总之向北走 。
越前进，就越像人类的城市 。
沿着宽阔的街道向北走，很快就会到达目的地 。
漂浮在湖面上的方形建筑物 。
「这里就是……魔王城……里面的魔王城？」抱在腋下的允浩喃喃自语 。
「…………？」来到那里，我回头看街那边 。
这是一条引起骚动的魔族街，总觉得有点骗人 。
这个湖上的魔王城也是如此 。
最初的印象——室内主题公园的感想更强了 。
就像是为了给你看而建的，奇怪的城堡 。
明明是有人居住的城市，却有哈利波特那样的既视感 。
「总觉得……是个恶心的城市啊」虽然对咏叹调不好，但我陈述了坦率的感想 。
「…………」她不回答 。
追兵好像也不来，所以我放了两个人 。
正好在那里技能效果中断，手臂产生轻微麻痹 。
虽说是女人，但如果两个人都扛起来的话就会增加负担 。
「娜奥特！你没事吧！？』健治很快也追上来了 。
「什么，这个城堡……？「健治也觉得奇怪吗？」「嗯 。
什么是制作出来的东西……是游戏性的吗」「啊，我明白」游戏性的 。
那也是 。
因为我们的最终目的就在这里 。
作为地标很容易理解 。
不是很适合最终决战的场合吗？「走吧，纳奥特，大家 。
让我们进行最后的战斗吧」「啊」，等待在我身后的咏叹和允诺也点头 。
这里面有魔王在等着我——满怀期待地走在湖上的桥上 。
到巨大的大楼有一公里以上，但完全没有门卫等妨碍 。
自从与守护魔王城大门的大量魔族战斗以来，就没有和任何人战斗过 。
甚至在魔王城里 。
明明期待着最后的迷宫那样的东西，什么也没有 。
没错，什么都没有 。
巨大的大楼里，是巨大的空洞 。
只有白色方形的空间 。
说到哈利波特，这边更近 。
在那个空间的中央，独自等待着——魔王 。
不是什么宝座，坐在到处家具店都能买到的椅子上的老人 。
穿着破烂的长袍，比人类白得多 。
就像一只干瘪的僵尸 。
这么弱的家伙，魔王？「……经常来，勇者啊 。
还是叫我「转移者」比较好？」嘶哑的声音没有力量，也不想站起来 。
「啊……嗯」我一边挠着头，一边犹豫该怎么切 。
毫不客气地说了「谈谈」，但我现在真的不想杀人 。
先不说剥牙袭来的怪物，就是这样皱皱巴巴的爷爷？「我想问你一个问题 。
你真的是魔王吗？』往前走一步问健治 。
「我看不到你的状态 。
纳奥特怎么样？「嗯？」我也用鉴定眼睛技能看爷爷 。
？？？？LV？？？惠普？？？/？？？MP？？？/？？？是真的 。
全部藏起来 。
「我是特别的存在 。
所以既不能接触这个世界的道理，也不能接触他们的道理」「他们……？「据说这个世界的居民称之为『上帝』 。
嗯，对你们来说可能是「恶魔」「那你呢——」「我是被「上帝」创造的存在 。
是作为游戏终点的最后障碍 。
你们说的是「最后的老板」吗」，也就是拉斯老板 。
你意识到是为了游戏而配置的存在吗？「那魔王……不，魔族和怪物……」「一切都是为了打扰转移者，就像我们生的棋子一样 。
但是我们也不会毁灭，也有繁荣的希望 。
在我们出生后的几千年里，为了这一天，增加了家族，持续剥夺了能安居乐业的土地」「繁荣的目的是为了打扰我们吗……」就像摆象棋棋子的作业吗？很久以前就被通知我们转移者要来了，为此准备好了吗？都是为了「上帝」之类的游戏 。
「…………嗯」魔王叹了口气 。
「我们一族希望『和平与繁荣』 。
但是有些魔王为了不同的目的而行动 。
既有希望世界毁灭的魔王，也有追求无能的人——你们来这里，某种程度上可以说是幸运吧」「也就是说想说稳健的魔王吧」「虽然如此，但我不打算偷懒」魔王从瑞士站起来 。
「几千年没在这里移动了——」 
